countyfp,countyns,geoid,name,namelsad,east_west
99,1265772,46099,Minnehaha,Minnehaha County,East River
67,1265771,46067,Hutchinson,Hutchinson County,East River
101,1265775,46101,Moody,Moody County,East River
43,1266978,46043,Douglas,Douglas County,East River
39,1265781,46039,Deuel,Deuel County,East River
25,1266985,46025,Clark,Clark County,East River
97,1265777,46097,Miner,Miner County,East River
73,1265778,46073,Jerauld,Jerauld County,East River
87,1265773,46087,McCook,McCook County,East River
81,1266996,46081,Lawrence,Lawrence County,West River
137,1266993,46137,Ziebach,Ziebach County,West River
15,1265768,46015,Brule,Brule County,West River
119,1266982,46119,Sully,Sully County,East River
129,1266973,46129,Walworth,Walworth County,East River
77,1265780,46077,Kingsbury,Kingsbury County,East River
55,1266988,46055,Haakon,Haakon County,West River
61,1266979,46061,Hanson,Hanson County,East River
41,1266994,46041,Dewey,Dewey County,West River
27,1265764,46027,Clay,Clay County,East River
135,1266975,46135,Yankton,Yankton County,East River
13,1265785,46013,Brown,Brown County,East River
79,1265776,46079,Lake,Lake County,East River
85,1265789,46085,Lyman,Lyman County,West River
71,1265794,46071,Jackson,Jackson County,West River
33,1265788,46033,Custer,Custer County,West River
5,1266986,46005,Beadle,Beadle County,East River
75,1266981,46075,Jones,Jones County,West River
21,1266974,46021,Campbell,Campbell County,East River
63,1265792,46063,Harding,Harding County,West River
29,1265791,46029,Codington,Codington County,East River
9,1266997,46009,Bon Homme,Bon Homme County,East River
7,1265812,46007,Bennett,Bennett County,West River
109,1265786,46109,Roberts,Roberts County,East River
121,1266989,46121,Todd,Todd County,West River
125,1265770,46125,Turner,Turner County,East River
35,1266980,46035,Davison,Davison County,East River
117,1266998,46117,Stanley,Stanley County,West River
3,1266983,46003,Aurora,Aurora County,East River
103,1266995,46103,Pennington,Pennington County,West River
83,1265769,46083,Lincoln,Lincoln County,East River
105,1266990,46105,Perkins,Perkins County,West River
11,1265779,46011,Brookings,Brookings County,East River
17,1265767,46017,Buffalo,Buffalo County,West River
95,1267177,46095,Mellette,Mellette County,West River
107,1265761,46107,Potter,Potter County,East River
47,1265787,46047,Fall River,Fall River County,West River
65,1265774,46065,Hughes,Hughes County,East River
69,1266984,46069,Hyde,Hyde County,East River
57,1265766,46057,Hamlin,Hamlin County,East River
45,1266972,46045,Edmunds,Edmunds County,East River
59,1265783,46059,Hand,Hand County,East River
115,1266987,46115,Spink,Spink County,East River
49,1265760,46049,Faulk,Faulk County,East River
19,1265793,46019,Butte,Butte County,West River
93,1266991,46093,Meade,Meade County,West River
89,1265762,46089,McPherson,McPherson County,East River
102,1266992,46102,Oglala Lakota,Oglala Lakota County,West River
23,1266976,46023,Charles Mix,Charles Mix County,East River
127,1265763,46127,Union,Union County,East River
37,1265790,46037,Day,Day County,East River
123,1265784,46123,Tripp,Tripp County,West River
111,1266977,46111,Sanborn,Sanborn County,East River
31,1265811,46031,Corson,Corson County,West River
53,1265765,46053,Gregory,Gregory County,East River
51,1265782,46051,Grant,Grant County,East River
91,1265759,46091,Marshall,Marshall County,East River